fips	county	filename	state	pop2012	countyGov	cbsa_title_2010	MetroMicro	centralOutlying	RGDPGrowth13	unemGrowth13	jobsGrowth13	HHpriceGrowth13	RGDPGrowthLT	avgUnemLT	jobsGrowthLT	HHpriceGrowthLT	descShortIndustry1	NGDPIndustry1	IShare13_Industry1	AvgWageIndustry1	descShortIndustry2	NGDPIndustry2	IShare13_Industry2	AvgWageIndustry2	descShortIndustry3	NGDPIndustry3	IShare13_Industry3	AvgWageIndustry3	descShortIndustry4	NGDPIndustry4	IShare13_Industry4	AvgWageIndustry4	descShortIndustry5	NGDPIndustry5	IShare13_Industry5	AvgWageIndustry5	RGDP2002	RGDP2003	RGDP2004	RGDP2005	RGDP2006	RGDP2007	RGDP2008	RGDP2009	RGDP2010	RGDP2011	RGDP2012	RGDP2013	peakRGDPyear	troughRGDPyear	stateRGDP2002	stateRGDP2003	stateRGDP2004	stateRGDP2005	stateRGDP2006	stateRGDP2007	stateRGDP2008	stateRGDP2009	stateRGDP2010	stateRGDP2011	stateRGDP2012	stateRGDP2013	peakstateRGDPyear	troughstateRGDPyear	unem2002	unem2003	unem2004	unem2005	unem2006	unem2007	unem2008	unem2009	unem2010	unem2011	unem2012	unem2013	peakunemyear	troughunemyear	stateUnem2002	stateUnem2003	stateUnem2004	stateUnem2005	stateUnem2006	stateUnem2007	stateUnem2008	stateUnem2009	stateUnem2010	stateUnem2011	stateUnem2012	stateUnem2013	peakstateUnemyear	troughstateUnemyear	jobs2002	jobs2003	jobs2004	jobs2005	jobs2006	jobs2007	jobs2008	jobs2009	jobs2010	jobs2011	jobs2012	jobs2013	peakjobsyear	troughjobsyear	stateJobs2002	stateJobs2003	stateJobs2004	stateJobs2005	stateJobs2006	stateJobs2007	stateJobs2008	stateJobs2009	stateJobs2010	stateJobs2011	stateJobs2012	stateJobs2013	peakstateJobsyear	troughstateJobsyear	HHprice2002	HHprice2003	HHprice2004	HHprice2005	HHprice2006	HHprice2007	HHprice2008	HHprice2009	HHprice2010	HHprice2011	HHprice2012	HHprice2013	peakHHpriceyear	troughHHpriceyear	stateHHprice2002	stateHHprice2003	stateHHprice2004	stateHHprice2005	stateHHprice2006	stateHHprice2007	stateHHprice2008	stateHHprice2009	stateHHprice2010	stateHHprice2011	stateHHprice2012	stateHHprice2013	peakstateHHpriceyear	troughstateHHpriceyear	NGDP2013	avgWage2013	fips_num
01001	Autauga County 	AutaugaCountyAL	AL	55514	1	Montgomery, AL	2	1	.00041662	-.73031	.02265451	.10659026	.04570042	4.2017511	.02285418	.05238439	Local government	122.58171	.11113279	35962.972	Paper	111.51571	.10110034	50836.187	Real estate	104.96805	.09516422	42306.708	Non-profits	74.15216	.06722648	34454.498	Banking	57.92048	.05251081	36243.115	8.310e+08	8.637e+08	9.125e+08	9.303e+08	9.163e+08	9.275e+08	8.886e+08	8.981e+08	8.870e+08	8.824e+08	9.066e+08	9.070e+08	2005	2011	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	4.35537	4.56541	4.25115	3.23075	2.85908	2.83388	4.5017	8.65186	7.69479	7.76708	6.45171	5.7214	2007	2009	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	12193.32	12396.46	12468.65	12709.02	12501.55	12640.91	12502.41	12260.04	11904.99	11892.69	11528.39	11789.56	2005	2012	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	116747.22	119575.95	122579.92	139179.84	149717.01	147555.15	137723.21	132888.55	134925.31	134580.25	134476.55	148810.44	2006	2009	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	1.103e+09	34274.818	1001
01003	Baldwin County 	BaldwinCountyAL	AL	190790	1	Daphne-Fairhope-Foley, AL	2	1	.02287905	-.40357	.00929396	.10104221	.06620642	3.97694	.04557658	.05219212	Real estate	1923.5523	.29620921	30537.536	Local government	443.26552	.06825878	38071.553	Health care	286.72593	.04415313	54454.233	Food services	280.27954	.04316045	17759.997	Business services	215.51111	.03318671	52239.16	4.290e+09	4.451e+09	4.752e+09	4.936e+09	5.196e+09	5.522e+09	5.534e+09	5.375e+09	5.378e+09	5.369e+09	5.487e+09	5.613e+09	2008	2011	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	4.56955	4.49549	4.5581	3.38366	2.75615	2.65352	4.05621	8.68595	8.71372	7.97923	6.76582	6.36225	2007	2010	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	53553.1	55022.58	57245.63	59934.01	63081.88	66861.29	66688.37	63183.22	62409.9	63859.56	64708.66	65310.06	2007	2010	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	143390.93	146899.51	152763.78	162179.93	168134.8	165130.83	161033.68	156111.15	154562.07	148999.66	155699.98	171432.25	2006	2011	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	6.494e+09	34045.332	1003
01005	Barbour County 	BarbourCountyAL	AL	27201	1		0		-.05849517	-.66683	-.0146057	.07800814	.0356098	6.6072229	.01136924	.0443367	Local government	63.82777	.08083005	32868.272	Fabricated metal products	50.3686	.06378566	35589.211	State government	48.24165	.06109214	39281.118	Real estate	40.51096	.05130217	29222.878	Wood products	34.16422	.0432648	22877.704	7.543e+08	7.859e+08	8.071e+08	8.395e+08	8.160e+08	8.088e+08	7.801e+08	7.220e+08	7.536e+08	7.275e+08	7.363e+08	6.932e+08	2005	2013	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	7.02795	6.43901	6.4116	4.93617	4.90005	5.41495	7.74004	12.79934	11.48519	10.96324	11.17917	10.51234	2006	2009	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	12469.42	12459.82	11973.47	12282.97	12198.91	11898.54	11438.47	10592.65	10513.42	10111.8	9629.8	9489.15	2002	2013	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	82378.7	83386.06	86275.23	92537.32	97908.46	97158.39	93803.55	88868.29	87745.61	85996.68	90265.32	97306.75	2006	2011	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	7.897e+08	33131.554	1005
01007	Bibb County 	BibbCountyAL	AL	22597	1	Birmingham-Hoover, AL	2	0	.01492185	-.66261	.00010591	.11057921	.02008446	6.4743794	.00315751	.05176657	Building construction	75.04044	.19603821	34878.215	Local government	56.36929	.14726106	33263.459	State government	22.0069	.05749158	36960.68	Federal government	16.62821	.0434401	85671.903	Real estate	16.22501	.04238677	27926.056	2.734e+08	2.789e+08	2.879e+08	2.889e+08	2.895e+08	3.018e+08	3.042e+08	2.961e+08	3.044e+08	3.112e+08	3.163e+08	3.211e+08	2008	2009	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	6.358	5.3893	4.85246	3.82141	3.61785	3.5063	5.1008	11.87261	10.12871	9.52875	7.64467	6.98206	2007	2009	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	4327.65	4420.16	4552.96	4599.21	4698.17	4884.03	4854.28	4663.38	4652.43	4624.84	4720.81	4721.31	2007	2011	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	89464.01	89331.09	95130.2	102509.68	108370.21	106214.25	101628.31	97542.66	96688.53	92979.94	99616.92	110632.48	2006	2011	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	3.828e+08	35919.16	1007
01009	Blount County 	BlountCountyAL	AL	57826	1	Birmingham-Hoover, AL	2	0	-.01011346	-.53893	.00612578	.10141087	.03430928	3.77602	.01081337	.051186	Local government	109.20552	.14592947	33954.557	Food	45.41248	.06068392	28053.608	Agriculture	41.76543	.05581043	1037.857	Wholesale:  durables	33.06355	.04418226	44370.329	Health care	32.01841	.04278565	52827.83	6.049e+08	6.247e+08	6.260e+08	6.545e+08	6.566e+08	6.766e+08	6.735e+08	6.530e+08	6.442e+08	6.091e+08	6.241e+08	6.177e+08	2007	2011	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	4.91146	4.17695	3.73599	3.06325	2.77706	2.73183	4.08824	8.90313	8.78465	7.95512	6.21771	5.67878	2007	2009	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	10610.62	10385.63	10345.71	10614.79	10839.96	11493.29	11503.15	11052.79	10696.71	10499.52	10574.98	10639.76	2008	2011	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	108078.24	108123.89	114933.2	123822.8	131294.39	128599.75	122324.21	116263.53	115259.43	112177.31	120738.93	132983.17	2006	2011	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	7.483e+08	27866.217	1009
01011	Bullock County 	BullockCountyAL	AL	10474	1		0		-.0386319	-.79864	-.01898087	.05919742	.03444534	11.008432	.0072176	.04504394	Food	39.66394	.14315849	26260.499	Utilities	29.2241	.10547812	26074.621	Local government	25.85768	.09332775	27308.408	Real estate	18.92334	.06829974	23809.266	State government	18.37588	.0663238	34544.641	2.526e+08	2.560e+08	2.632e+08	2.458e+08	2.345e+08	2.326e+08	2.302e+08	2.493e+08	2.481e+08	2.404e+08	2.398e+08	2.306e+08	2004	2008	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	9.29596	10.02587	10.35742	8.14218	7.71996	8.17296	9.32335	13.98188	14.40969	14.42434	13.389	12.59036	2006	2011	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	4039.98	3978.53	3999.91	3738.01	3627.81	3569.29	3559.41	3601.23	3554.15	3484.05	3451.37	3385.86	2002	2013	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	66763.01	67298.24	69356.86	73562.41	76853.62	76368.94	75427.87	73653.96	73418.08	71637.27	75390.95	79853.9	2006	2011	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	2.771e+08	26661.864	1011
01013	Butler County 	ButlerCountyAL	AL	20307	1		0		.00223939	-.64694	-.01654965	.07651023	.03395981	8.6272159	.00311641	.04896503	Local government	48.92133	.08760437	34658.741	Transportation equipment	30.25769	.05418303	65291.691	Health care	28.88066	.05171716	42875.599	Wood products	23.78981	.04260087	38668.404	Real estate	22.69202	.04063504	13526.844	4.598e+08	4.544e+08	4.696e+08	4.967e+08	5.102e+08	4.957e+08	4.874e+08	4.444e+08	4.801e+08	4.904e+08	4.900e+08	4.911e+08	2006	2009	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	7.18	7.86744	8.47306	5.51762	4.92659	5.30155	7.52369	14.67102	12.08568	11.25792	10.84578	10.19884	2006	2009	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	7707.48	7583.05	7466.88	7657.83	7774.15	7751.37	7518.75	6941.27	7301.62	7305.82	7289.58	7168.94	2006	2009	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	69168.69	71096.79	74521.12	79889.59	83465.85	81973.25	79138.34	75215.93	73212.36	70180.76	73247.2	78851.36	2006	2011	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	5.584e+08	30940.825	1013
01015	Calhoun County 	CalhounCountyAL	AL	117296	1	Anniston-Oxford-Jacksonville, AL	2	1	-.0012908	-.27675	-.00257088	.10310623	.02232401	5.4753328	.00178602	.0389257	Federal government	803.22998	.17601419	91064.589	Local government	390.58544	.08559016	27872.952	Health care	291.59791	.06389872	38547.445	Transportation equipment	219.37323	.04807191	66160.195	Real estate	203.81676	.04466298	24811.41	3.477e+09	3.645e+09	3.927e+09	4.063e+09	4.164e+09	4.229e+09	4.243e+09	3.984e+09	4.027e+09	4.008e+09	3.892e+09	3.887e+09	2008	2013	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	5.42995	5.38158	4.85639	3.82724	3.47814	3.36671	4.98161	9.91285	9.52291	8.75995	7.5735	7.29675	2007	2009	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	50357.28	50830.9	52318.75	52935.93	54065.06	55068.72	54207.74	51203.07	50382.57	50062.11	49485.09	49357.87	2007	2013	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	87635.75	92396.43	94631.35	96945.27	98095.15	96446.94	93745.03	91435.7	88979.45	87215.19	89563.16	98797.68	2006	2011	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	4.563e+09	37151.945	1015
01017	Chambers County 	ChambersCountyAL	AL	34064	1	Valley, AL	1	1	-.07454604	-.55328	-.01666697	.07795414	.0164261	5.8864531	-.01325106	.04115465	Local government	72.79068	.1111631	36168.479	Transportation equipment	71.48455	.10916843	45236.819	Health care	34.46293	.05263045	40308.481	Administrative services	30.0561	.04590051	36055.155	Utilities	22.29307	.03404511	98514.993	7.628e+08	7.503e+08	8.085e+08	7.994e+08	7.082e+08	7.036e+08	5.563e+08	5.063e+08	5.717e+08	6.027e+08	6.083e+08	5.629e+08	2004	2009	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	6.09113	5.82877	6.2494	4.89791	5.03526	5.59134	12.80381	17.65465	13.41252	10.95017	9.27572	8.72244	2005	2009	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	12868.63	12358.78	11937.32	11894.36	11042.81	10816.04	8955.31	8088.13	8307.5	8726.51	8845.04	8697.62	2002	2009	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	73811.1	75364.07	78208.13	82886.18	85694.78	83446.86	80310.61	76405.07	73937.17	70121.41	73122.09	78822.26	2006	2011	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	6.548e+08	32635.767	1017
01019	Cherokee County 	CherokeeCountyAL	AL	26021	1		0		.02531621	-.42372	-.00391298	.09656437	.02997696	4.8969789	.00576731	.04759371	Local government	71.33363	.15981412	35572.514	Real estate	43.91241	.09838029	31341.628	Department stores	20.7888	.04657472	22543.849	Banking	15.53662	.03480786	39218.902	Agriculture	14.93564	.03346144	7088.1584	3.313e+08	3.458e+08	3.787e+08	3.964e+08	3.910e+08	4.024e+08	4.040e+08	3.686e+08	3.754e+08	3.604e+08	3.635e+08	3.727e+08	2008	2011	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	4.31293	4.44654	4.25985	3.70324	3.63555	3.58172	5.03607	10.41671	9.10629	8.43257	7.10347	6.67975	2007	2009	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	5796.86	5891.72	6096.26	6110.81	6012.59	6226.5	6200.14	5859.16	5793.47	5790.09	5821.65	5798.87	2007	2011	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	91798.78	93740.86	97877.35	104891.58	110147.87	108997.22	105280.68	100413.73	98246.16	93484.47	96812.11	106160.71	2006	2011	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	4.464e+08	28697.65	1019
01021	Chilton County 	ChiltonCountyAL	AL	43819	1	Birmingham-Hoover, AL	2	0	.06203699	-.56486	.00344898	.1072084	.04343097	5.1875261	.01887717	.05079831	Local government	90.56137	.10840768	34457.375	Specialty trade contractors	45.99024	.05505322	32693.792	Wood products	41.0857	.04918218	35115.254	Health care	34.64238	.04146912	51023.834	Utilities	33.8796	.04055602	98096.221	5.601e+08	5.713e+08	6.199e+08	6.513e+08	6.738e+08	6.745e+08	6.587e+08	6.254e+08	6.432e+08	6.588e+08	6.777e+08	7.197e+08	2007	2009	1.371e+11	1.400e+11	1.469e+11	1.510e+11	1.537e+11	1.554e+11	1.559e+11	1.498e+11	1.538e+11	1.554e+11	1.573e+11	1.594e+11	2008	2009	4.64119	4.5396	4.1847	3.33572	3.08696	2.91002	4.43712	9.48211	9.04265	8.19502	6.51682	5.95196	2007	2009	5.35	5.45	5.04167	3.81667	3.45	3.41667	4.96667	9.83333	9.31667	8.675	7.2865	6.68371	2007	2009	9561.27	9480.43	9898.93	10182.58	10586.42	10751.55	10443.16	9859.23	9735.63	9802.09	10336.4	10372.05	2007	2010	1979910.2	1969202.9	1997717.4	2036258.4	2070777.1	2099672.5	2081241.1	1977292	1959789.8	1958876.5	1975498.5	1984491.8	2007	2011	101043.98	100808.89	107053.41	115176.82	121461.44	118363.11	112193.56	106741.41	106309.75	103605.14	111871.18	123864.71	2006	2011	116361.75	119937	125313.66	133461.81	138622.92	135270.43	129541.17	124110.87	123070.37	118737.65	123839.93	135216.6	2006	2011	8.354e+08	30322.294	1021
