FIP,Geography,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
1001,Autauga County (AL),475.9153748,484.3781433,509.4923401,510.4421387,545.0435181,565.272522,608.7849731,645.986145,694.5552368,732.7005615,782.0075684,838.2370605,831.0444946,863.7114258,912.4738159,930.3341675,916.2542114,927.5462036,888.6009521,898.1031494,887.0350342,882.3502197,906.5917358,906.9694214,
1003,Baldwin County (AL),1745.460815,1803.800415,2003.087769,2138.902344,2452.137695,2674.111084,2888.453613,3204.165283,3524.990479,3841.463135,4084.996826,4170.782227,4289.591797,4451.294434,4751.905273,4936.250488,5196.100586,5521.540039,5534.180664,5374.624512,5377.879395,5368.853027,5487.000977,5612.538574,
1005,Barbour County (AL),496.6771851,539.5562134,536.7493896,558.3093262,603.3023682,601.5061646,602.9971313,625.8613892,674.1456909,721.9702759,757.7072754,762.135437,754.3237915,785.9400635,807.0562744,839.4918213,816.0065308,808.777771,780.1063232,721.9833374,753.6463623,727.4689941,736.2672729,693.1992188,
1007,Bibb County (AL),212.6820831,223.3806763,243.5124054,238.2382202,256.9933472,272.8419495,275.2033997,282.0294189,282.9455872,262.6803589,266.2227783,261.9612122,273.3925171,278.8644104,287.9371033,288.887085,289.4840088,301.7863464,304.2154541,296.1311035,304.405426,311.1992798,316.3487549,321.0692749,
1009,Blount County (AL),381.2864075,397.3826294,456.9585266,477.7887268,485.4589844,517.4161377,538.4558105,571.8638306,585.0158081,619.6802368,626.2295532,633.7827759,604.8903198,624.6550293,626.0100708,654.4927368,656.602478,676.5633545,673.5474243,652.9883423,644.1834106,609.1027222,624.0524902,617.7411499,
1011,Bullock County (AL),163.8330994,176.203186,179.39328,179.1776733,189.809082,198.9294739,206.763092,218.609024,230.7433014,243.8216858,244.14151,242.7102966,252.6423035,255.9871063,263.2129822,245.7973938,234.4821777,232.6226959,230.2279663,249.2735901,248.1115417,240.4088135,239.8266602,230.5617065,
1013,Butler County (AL),298.9998474,308.6053162,329.1013184,342.3226318,372.8817444,408.0091248,413.7907715,417.734314,433.3522644,432.7542419,427.4211426,440.9512024,459.7892761,454.3995972,469.6478577,496.6852112,510.1871033,495.7330017,487.3736572,444.3890076,480.0971985,490.3712158,490.026825,491.1242065,
1015,Calhoun County (AL),2851.452148,2937.958984,3001.989014,2953.860107,3029.250488,3111.035889,3146.548096,3237.766602,3358.634277,3466.637207,3355.947754,3310.051514,3477.043945,3644.618896,3927.056641,4062.974365,4164.289063,4229.36084,4242.874512,3984.190918,4027.068604,4007.607178,3891.723877,3886.700439,
1017,Chambers County (AL),643.6083984,630.7231445,664.2238159,640.4066162,640.0269165,659.2487183,684.6697388,714.848938,732.7415161,740.4086914,735.2166138,737.8429565,762.7736206,750.2977295,808.5056152,799.3526611,708.1661987,703.6009521,556.2628174,506.3252563,571.730835,602.7305908,608.2665405,562.9226685,
1019,Cherokee County (AL),237.4018555,245.8988647,252.245285,257.6247864,269.7514343,272.508606,286.3363037,300.5978088,302.2312012,311.9917603,318.7272949,324.6251221,331.3265686,345.8072815,378.7195129,396.4263611,390.9735413,402.4183655,403.9980164,368.5633545,375.3661804,360.3827515,363.5417175,372.7452393,
1021,Chilton County (AL),327.4219971,335.3606873,358.3325195,372.079895,403.6561279,443.6715698,463.9442444,497.0732117,506.3332825,549.3297119,559.7498779,545.1455078,560.0665894,571.3173218,619.8675537,651.2860107,673.8215942,674.5142212,658.6848145,625.4146118,643.210083,658.8441772,677.6637573,719.7039795,
1023,Choctaw County (AL),353.2554932,373.4596252,401.006897,403.1029358,412.0148621,409.9649963,372.4178772,365.1992493,368.4972229,423.776825,414.4851685,386.6880798,377.6484985,360.9932251,426.4528503,424.4841309,420.4358826,396.9734497,356.711731,374.7393494,363.5519714,341.7384338,348.2416077,362.5300293,
1025,Clarke County (AL),449.2191772,456.322998,473.4847412,484.870697,525.4707031,530.9754639,612.031311,609.3610229,580.6464844,603.3087158,617.3276367,580.8546753,587.6768188,616.8305054,616.7460327,624.5958252,626.0079956,656.6877441,636.112915,617.1915283,614.4016113,609.9231567,607.3086548,615.3231201,
1027,Clay County (AL),197.0082397,204.7565155,227.4644928,232.8796844,258.2850342,275.6583252,293.6494446,293.510437,303.903656,314.677002,313.7340698,304.1264343,296.5384521,272.709137,292.7051392,317.8064575,358.4710388,335.3000488,290.77005,264.8529358,268.0130005,262.3963013,265.089386,264.2935181,
1029,Cleburne County (AL),133.164856,143.2822266,156.7838745,160.1308136,176.7679443,178.5972748,181.0903168,190.4255219,197.1079865,202.1720276,206.0558319,204.2550354,204.9028931,198.6897736,206.3376312,212.067337,203.4016571,186.8762665,191.1506805,188.5719452,188.8949432,178.5962372,178.5714569,176.217926,
1031,Coffee County (AL),654.9519043,673.6401978,730.8398438,757.1960449,811.4578247,835.2597046,842.8566895,900.0535889,938.6119995,976.8296509,968.0651245,926.2056274,950.0411987,999.9094849,1061.633667,1106.381714,1130.087402,1181.274292,1209.635742,1174.268188,1161.909058,1144.712402,1172.516235,1181.090088,
1033,Colbert County (AL),1442.298828,1480.755493,1474.118408,1499.379639,1555.80896,1594.337891,1602.566162,1594.762329,1533.056885,1563.653198,1564.687134,1516.909668,1590.887085,1594.652832,1716.285645,1753.046265,1709.144775,1719.997559,1758.177612,1717.78894,1812.267334,1856.348267,1894.871094,1971.324951,
1035,Conecuh County (AL),197.2152252,212.0361938,223.8107147,240.0741882,261.4639587,275.4145508,288.7015686,288.0083008,286.2783813,269.9846191,282.354187,269.1841431,266.8930664,278.1848145,287.5047607,358.6199646,361.6638794,345.5362244,328.894165,269.6459351,256.5332642,246.493927,244.704483,248.1363525,
1037,Coosa County (AL),107.1930771,107.7386398,111.7408981,112.6423264,123.498909,124.9047775,130.9924469,132.0037231,135.9585571,134.9927521,131.5774994,126.6210175,125.1044693,130.1142426,134.2356262,138.163559,142.4966583,145.8688354,138.217865,129.8527679,127.4744263,121.2219696,122.1521378,124.3948898,
1039,Covington County (AL),740.5862427,741.5293579,775.7842407,792.6408691,856.3679199,890.8822021,878.9292603,905.4185181,918.7252808,932.4202271,932.9281006,943.3119507,999.6209717,1027.939697,1101.045654,1113.767944,1122.831055,1114.790161,1071.71106,1016.553101,1104.281006,1077.211914,1086.227539,1099.564209,
1041,Crenshaw County (AL),182.4478455,185.1339569,192.566391,194.4536438,209.6307526,224.6358337,222.8511047,229.7914886,233.4210358,224.6381531,230.4939728,235.6201477,242.9633636,235.9995117,237.4598999,277.210022,312.4740601,299.3407288,289.6160889,275.5769653,300.8044128,299.1576843,307.3019714,312.5708618,
1043,Cullman County (AL),1107.304077,1125.747437,1204.650879,1240.344727,1368.650757,1437.520264,1474.473999,1554.217041,1648.8125,1718.875854,1794.991333,1763.042725,1759.484619,1841.3396,1971.335938,2059.393066,2109.986816,2103.142822,2067.166992,1951.766846,2017.66748,1974.32373,1988.937012,2023.9823,
1045,Dale County (AL),1254.383911,1271.061035,1295.394775,1236.192993,1240.446167,1214.743042,1220.349487,1197.981567,1259.164673,1320.43457,1309.076538,1324.214233,1436.250366,1533.691162,1613.800781,1648.043213,1672.856812,1680.990845,1669.884033,1573.686279,1757.136353,1831.380249,1844.920288,1759.75,
1047,Dallas County (AL),936.0905762,964.5540161,1011.613708,1005.530762,1087.782959,1100.978882,1057.959473,1107.487305,1137.219482,1154.53479,1177.467529,1149.355103,1126.592529,1107.571045,1160.792236,1179.589966,1184.583618,1150.35791,1112.763184,1028.45105,1045.763672,1057.461426,1059.62146,1037.083984,
1049,DeKalb County (AL),833.8604736,870.7501831,920.9454956,984.3310547,1070.011108,1097.978882,1120.350708,1191.88855,1263.657715,1343.871094,1401.565552,1457.958008,1497.481934,1563.914673,1651.479614,1665.409912,1757.08252,1661.452637,1608.090576,1479.305664,1557.809326,1483.581909,1503.065552,1504.840454,
1051,Elmore County (AL),563.921814,572.5056763,596.1830444,609.1652222,647.3731689,682.4393311,717.9550171,765.3753052,820.2981567,876.4588013,910.6693115,940.6964111,956.3696899,1051.80127,1090.318604,1129.783569,1196.094971,1233.865967,1266.217773,1200.157349,1267.369751,1315.252686,1359.499512,1406.83667,
1053,Escambia County (AL),771.7571411,819.3511963,849.4050293,927.9977417,998.934082,1073.991699,1066.923706,1077.234009,1046.43396,1009.900452,1067.536011,1055.344482,983.274353,990.9009399,1016.170898,1041.665161,1010.511902,991.2721558,958.6243286,913.8843384,960.3062744,968.0081787,973.6773071,979.1744995,
