FIP,FIP2,Geography,countyGov,NACo Member,countySize,stateFips,countyFips,censusRegion,metroMicro,topGDPSector13,topEMPSector13
1001,1001,Autauga County (AL),Yes,Yes,1,1,1,S,2,services,services
1003,1003,Baldwin County (AL),Yes,Yes,1,1,3,S,2,services,services
1005,1005,Barbour County (AL),Yes,Yes,0,1,5,S,0,services,services
1007,1007,Bibb County (AL),Yes,Yes,0,1,7,S,2,services,services
1009,1009,Blount County (AL),Yes,Yes,1,1,9,S,2,services,services
1011,1011,Bullock County (AL),Yes,Yes,0,1,11,S,0,services,services
1013,1013,Butler County (AL),Yes,Yes,0,1,13,S,0,services,services
1015,1015,Calhoun County (AL),Yes,Yes,1,1,15,S,2,services,services
1017,1017,Chambers County (AL),Yes,Yes,0,1,17,S,1,services,services
1019,1019,Cherokee County (AL),Yes,Yes,0,1,19,S,0,services,services
1021,1021,Chilton County (AL),Yes,Yes,0,1,21,S,2,services,services
1023,1023,Choctaw County (AL),Yes,Yes,0,1,23,S,0,manufacturing,services
1025,1025,Clarke County (AL),Yes,Yes,0,1,25,S,0,services,services
1027,1027,Clay County (AL),Yes,Yes,0,1,27,S,0,manufacturing,manufacturing
1029,1029,Cleburne County (AL),Yes,Yes,0,1,29,S,0,services,government
1031,1031,Coffee County (AL),Yes,Yes,1,1,31,S,1,services,services
1033,1033,Colbert County (AL),Yes,Yes,1,1,33,S,2,services,services
1035,1035,Conecuh County (AL),Yes,Yes,0,1,35,S,0,services,services
1037,1037,Coosa County (AL),Yes,Yes,0,1,37,S,1,manufacturing,manufacturing
1039,1039,Covington County (AL),Yes,Yes,0,1,39,S,0,services,services
1041,1041,Crenshaw County (AL),Yes,Yes,0,1,41,S,0,services,services
1043,1043,Cullman County (AL),Yes,Yes,1,1,43,S,1,services,services
1045,1045,Dale County (AL),Yes,Yes,1,1,45,S,1,government,government
1047,1047,Dallas County (AL),Yes,Yes,0,1,47,S,1,services,services
1049,1049,DeKalb County (AL),Yes,Yes,1,1,49,S,0,services,services
1051,1051,Elmore County (AL),Yes,Yes,1,1,51,S,2,services,services
1053,1053,Escambia County (AL),Yes,Yes,0,1,53,S,0,services,services
1055,1055,Etowah County (AL),Yes,Yes,1,1,55,S,2,services,services
1057,1057,Fayette County (AL),Yes,Yes,0,1,57,S,0,services,services
1059,1059,Franklin County (AL),Yes,Yes,0,1,59,S,0,manufacturing,services
1061,1061,Geneva County (AL),Yes,Yes,0,1,61,S,2,services,services
1063,1063,Greene County (AL),Yes,Yes,0,1,63,S,0,services,government
1065,1065,Hale County (AL),Yes,Yes,0,1,65,S,2,services,services
1067,1067,Henry County (AL),Yes,Yes,0,1,67,S,2,services,services
1069,1069,Houston County (AL),Yes,Yes,1,1,69,S,2,services,services
1071,1071,Jackson County (AL),Yes,Yes,1,1,71,S,1,services,services
1073,1073,Jefferson County (AL),Yes,Yes,2,1,73,S,2,services,services
1075,1075,Lamar County (AL),Yes,Yes,0,1,75,S,0,services,services
1077,1077,Lauderdale County (AL),Yes,Yes,1,1,77,S,2,services,services
1079,1079,Lawrence County (AL),Yes,Yes,0,1,79,S,2,manufacturing,services
1081,1081,Lee County (AL),Yes,Yes,1,1,81,S,2,services,services
1083,1083,Limestone County (AL),Yes,Yes,1,1,83,S,2,services,services
1085,1085,Lowndes County (AL),Yes,Yes,0,1,85,S,2,manufacturing,manufacturing
1087,1087,Macon County (AL),Yes,Yes,0,1,87,S,0,government,government
1089,1089,Madison County (AL),Yes,Yes,1,1,89,S,2,services,services
1091,1091,Marengo County (AL),Yes,Yes,0,1,91,S,0,services,services
1093,1093,Marion County (AL),Yes,Yes,0,1,93,S,0,services,services
1095,1095,Marshall County (AL),Yes,Yes,1,1,95,S,1,services,services
1097,1097,Mobile County (AL),Yes,Yes,1,1,97,S,2,services,services
1099,1099,Monroe County (AL),Yes,Yes,0,1,99,S,0,services,services
1101,1101,Montgomery County (AL),Yes,Yes,1,1,101,S,2,services,services
1103,1103,Morgan County (AL),Yes,Yes,1,1,103,S,2,services,services
1105,1105,Perry County (AL),Yes,Yes,0,1,105,S,0,services,services
1107,1107,Pickens County (AL),Yes,Yes,0,1,107,S,2,services,services
1109,1109,Pike County (AL),Yes,Yes,0,1,109,S,1,services,services
1111,1111,Randolph County (AL),Yes,Yes,0,1,111,S,0,services,services
1113,1113,Russell County (AL),Yes,Yes,1,1,113,S,2,services,services
1115,1115,St. Clair County (AL),Yes,Yes,1,1,115,S,2,services,services
1117,1117,Shelby County (AL),Yes,Yes,1,1,117,S,2,services,services
1119,1119,Sumter County (AL),Yes,Yes,0,1,119,S,0,services,services
1121,1121,Talladega County (AL),Yes,Yes,1,1,121,S,1,services,services
1123,1123,Tallapoosa County (AL),Yes,Yes,0,1,123,S,0,services,services
1125,1125,Tuscaloosa County (AL),Yes,Yes,1,1,125,S,2,services,services
1127,1127,Walker County (AL),Yes,Yes,1,1,127,S,2,services,services
1129,1129,Washington County (AL),Yes,Yes,0,1,129,S,0,manufacturing,services
1131,1131,Wilcox County (AL),Yes,Yes,0,1,131,S,0,services,services
1133,1133,Winston County (AL),Yes,Yes,0,1,133,S,0,services,services
2013,2013,Aleutians East Borough (AK),Yes,No,0,2,13,W,0,manufacturing,manufacturing
2016,2016,Aleutians West Census Area (AK),No,No,0,2,16,W,0,manufacturing,manufacturing
2020,2020,Anchorage Borough (AK),Yes,Yes,1,2,20,W,2,services,services
2050,2050,Bethel Census Area (AK),No,No,0,2,50,W,2,services,services
2060,2060,Bristol Bay Borough (AK),Yes,Yes,0,2,60,W,0,services,services
2068,2068,Denali Borough (AK),Yes,Yes,0,2,68,W,0,services,services
2070,2070,Dillingham Census Area (AK),No,No,0,2,70,W,0,services,services
2090,2090,Fairbanks North Star Borough (AK),Yes,Yes,1,2,90,W,2,services,services
2100,2100,Haines Borough (AK),Yes,Yes,0,2,100,W,0,manufacturing,services
2105,2105,Hoonah-Angoon Census Area,No,No,0,2,105,W,0,government,services
2110,2110,Juneau Borough (AK),Yes,Yes,0,2,110,W,1,services,services
2122,2122,Kenai Peninsula Borough (AK),Yes,Yes,1,2,122,W,0,services,services
2130,2130,Ketchikan Gateway Borough (AK),Yes,Yes,0,2,130,W,1,services,services
2150,2150,Kodiak Island Borough (AK),Yes,Yes,0,2,150,W,0,services,services
2164,2164,Lake and Peninsula Borough (AK),Yes,Yes,0,2,164,W,0,government,government
2170,2170,Matanuska-Susitna Borough (AK),Yes,Yes,1,2,170,W,2,services,services
2180,2180,Nome Census Area (AK),No,No,0,2,180,W,2,services,services
2185,2185,North Slope Borough (AK),Yes,Yes,0,2,185,W,0,raw materials,raw materials
2188,2188,Northwest Arctic Borough (AK),Yes,Yes,0,2,188,W,0,raw materials,government
2195,2195,Petersburg Census Area (AK),Yes,No,0,2,195,W,0,services,services
2198,2198,Prince of Wales-Hyder Census Area (AK),No,No,0,2,198,W,0,services,services
2220,2220,Sitka Borough (AK),Yes,Yes,0,2,220,W,0,services,services
2230,2230,Skagway-Yakutat Division (AK),Yes,Yes,0,2,230,W,0,services,services
2240,2240,Southeast Fairbanks Census Area (AK),No,No,0,2,240,W,0,government,services
2261,2261,Valdez-Cordova Census Area (AK),No,No,0,2,261,W,0,services,services
2270,2270,Wade Hampton Census Area (AK),No,No,0,2,270,W,0,government,services
2275,2275,Wrangell City and Borough (AK),Yes,Yes,0,2,275,W,0,services,services
2282,2282,Yakutat Borough (AK),Yes,Yes,0,2,282,W,0,services,government
2290,2290,Yukon-Koyukuk Census Area (AK),No,No,0,2,290,W,0,services,government
4001,4001,Apache County (AZ),Yes,Yes,1,4,1,W,0,services,government
4003,4003,Cochise County (AZ),Yes,Yes,1,4,3,W,2,services,services
4005,4005,Coconino County (AZ),Yes,Yes,1,4,5,W,2,services,services
4007,4007,Gila County (AZ),Yes,Yes,1,4,7,W,1,services,services
4009,4009,Graham County (AZ),Yes,Yes,0,4,9,W,1,raw materials,services
4011,4011,Greenlee County (AZ),Yes,Yes,0,4,11,W,0,raw materials,services
4012,4012,La Paz County (AZ),Yes,Yes,0,4,12,W,0,services,services
4013,4013,Maricopa County (AZ),Yes,Yes,2,4,13,W,2,services,services
4015,4015,Mohave County (AZ),Yes,Yes,1,4,15,W,2,services,services
4017,4017,Navajo County (AZ),Yes,Yes,1,4,17,W,1,services,services
4019,4019,Pima County (AZ),Yes,Yes,2,4,19,W,2,services,services
4021,4021,Pinal County (AZ),Yes,Yes,1,4,21,W,2,services,services
4023,4023,Santa Cruz County (AZ),Yes,Yes,0,4,23,W,1,services,services
4025,4025,Yavapai County (AZ),Yes,Yes,1,4,25,W,2,services,services
4027,4027,Yuma County (AZ),Yes,Yes,1,4,27,W,2,services,services
5001,5001,Arkansas County (AR),Yes,Yes,0,5,1,S,0,services,services
5003,5003,Ashley County (AR),Yes,Yes,0,5,3,S,0,services,services
5005,5005,Baxter County (AR),Yes,Yes,0,5,5,S,1,services,services
5007,5007,Benton County (AR),Yes,Yes,1,5,7,S,2,services,services
5009,5009,Boone County (AR),Yes,Yes,0,5,9,S,1,services,services
5011,5011,Bradley County (AR),Yes,Yes,0,5,11,S,0,services,services
5013,5013,Calhoun County (AR),Yes,Yes,0,5,13,S,1,manufacturing,manufacturing
5015,5015,Carroll County (AR),Yes,Yes,0,5,15,S,0,services,services
5017,5017,Chicot County (AR),Yes,Yes,0,5,17,S,0,services,services
5019,5019,Clark County (AR),Yes,Yes,0,5,19,S,1,services,services
5021,5021,Clay County (AR),Yes,Yes,0,5,21,S,0,services,services
5023,5023,Cleburne County (AR),Yes,Yes,0,5,23,S,0,services,services
5025,5025,Cleveland County (AR),Yes,Yes,0,5,25,S,2,services,services
5027,5027,Columbia County (AR),Yes,Yes,0,5,27,S,1,services,services
5029,5029,Conway County (AR),Yes,Yes,0,5,29,S,0,services,services
5031,5031,Craighead County (AR),Yes,Yes,1,5,31,S,2,services,services
5033,5033,Crawford County (AR),Yes,Yes,1,5,33,S,2,services,services
5035,5035,Crittenden County (AR),Yes,Yes,1,5,35,S,2,services,services
5037,5037,Cross County (AR),Yes,Yes,0,5,37,S,0,services,services
5039,5039,Dallas County (AR),Yes,Yes,0,5,39,S,0,services,services
5041,5041,Desha County (AR),Yes,Yes,0,5,41,S,0,services,services
5043,5043,Drew County (AR),Yes,Yes,0,5,43,S,0,services,services
5045,5045,Faulkner County (AR),Yes,Yes,1,5,45,S,2,services,services
5047,5047,Franklin County (AR),Yes,Yes,0,5,47,S,0,services,services
5049,5049,Fulton County (AR),Yes,Yes,0,5,49,S,0,services,services
5051,5051,Garland County (AR),Yes,Yes,1,5,51,S,2,services,services
5053,5053,Grant County (AR),Yes,Yes,0,5,53,S,2,services,services
5055,5055,Greene County (AR),Yes,Yes,0,5,55,S,1,services,services
5057,5057,Hempstead County (AR),Yes,Yes,0,5,57,S,0,services,services
5059,5059,Hot Spring County (AR),Yes,Yes,0,5,59,S,1,services,services
5061,5061,Howard County (AR),Yes,Yes,0,5,61,S,0,manufacturing,manufacturing
5063,5063,Independence County (AR),Yes,Yes,0,5,63,S,1,services,services
5065,5065,Izard County (AR),Yes,Yes,0,5,65,S,0,services,services
5067,5067,Jackson County (AR),Yes,Yes,0,5,67,S,0,services,services
5069,5069,Jefferson County (AR),Yes,Yes,1,5,69,S,2,services,services
5071,5071,Johnson County (AR),Yes,Yes,0,5,71,S,0,services,services
5073,5073,Lafayette County (AR),Yes,Yes,0,5,73,S,0,services,services
5075,5075,Lawrence County (AR),Yes,Yes,0,5,75,S,0,services,services
5077,5077,Lee County (AR),Yes,Yes,0,5,77,S,0,services,services
5079,5079,Lincoln County (AR),Yes,Yes,0,5,79,S,2,services,government
5081,5081,Little River County (AR),Yes,Yes,0,5,81,S,2,manufacturing,services
5083,5083,Logan County (AR),Yes,Yes,0,5,83,S,0,services,services
5085,5085,Lonoke County (AR),Yes,Yes,1,5,85,S,2,services,services
5087,5087,Madison County (AR),Yes,Yes,0,5,87,S,2,services,services
5089,5089,Marion County (AR),Yes,Yes,0,5,89,S,0,manufacturing,manufacturing
5091,5091,Miller County (AR),Yes,Yes,0,5,91,S,2,services,services
5093,5093,Mississippi County (AR),Yes,Yes,0,5,93,S,1,manufacturing,services
5095,5095,Monroe County (AR),Yes,Yes,0,5,95,S,0,services,services
5097,5097,Montgomery County (AR),Yes,Yes,0,5,97,S,0,services,services
5099,5099,Nevada County (AR),Yes,Yes,0,5,99,S,0,services,services
5101,5101,Newton County (AR),Yes,Yes,0,5,101,S,1,services,agriculture
5103,5103,Ouachita County (AR),Yes,Yes,0,5,103,S,1,services,services
5105,5105,Perry County (AR),Yes,Yes,0,5,105,S,2,services,services
5107,5107,Phillips County (AR),Yes,Yes,0,5,107,S,1,services,services
5109,5109,Pike County (AR),Yes,Yes,0,5,109,S,0,services,services
5111,5111,Poinsett County (AR),Yes,Yes,0,5,111,S,2,services,services
5113,5113,Polk County (AR),Yes,Yes,0,5,113,S,0,services,services
5115,5115,Pope County (AR),Yes,Yes,1,5,115,S,1,services,services
5117,5117,Prairie County (AR),Yes,Yes,0,5,117,S,0,services,services
5119,5119,Pulaski County (AR),Yes,Yes,1,5,119,S,2,services,services
5121,5121,Randolph County (AR),Yes,Yes,0,5,121,S,0,services,services
5123,5123,St. Francis County (AR),Yes,Yes,0,5,123,S,1,services,services
5125,5125,Saline County (AR),Yes,Yes,1,5,125,S,2,services,services
5127,5127,Scott County (AR),Yes,Yes,0,5,127,S,0,services,manufacturing
5129,5129,Searcy County (AR),Yes,Yes,0,5,129,S,0,services,services
5131,5131,Sebastian County (AR),Yes,Yes,1,5,131,S,2,services,services
5133,5133,Sevier County (AR),Yes,Yes,0,5,133,S,0,services,services
5135,5135,Sharp County (AR),Yes,Yes,0,5,135,S,0,services,services
5137,5137,Stone County (AR),Yes,Yes,0,5,137,S,0,services,services
5139,5139,Union County (AR),Yes,Yes,0,5,139,S,1,services,services
5141,5141,Van Buren County (AR),Yes,Yes,0,5,141,S,0,services,services
5143,5143,Washington County (AR),Yes,Yes,1,5,143,S,2,services,services
5145,5145,White County (AR),Yes,Yes,1,5,145,S,1,services,services
5147,5147,Woodruff County (AR),Yes,Yes,0,5,147,S,0,services,services
5149,5149,Yell County (AR),Yes,Yes,0,5,149,S,1,services,services
6001,6001,Alameda County (CA),Yes,Yes,2,6,1,W,2,services,services
6003,6003,Alpine County (CA),Yes,Yes,0,6,3,W,0,services,services
6005,6005,Amador County (CA),Yes,Yes,0,6,5,W,0,services,services
6007,6007,Butte County (CA),Yes,Yes,1,6,7,W,2,services,services
6009,6009,Calaveras County (CA),Yes,Yes,0,6,9,W,0,services,services
6011,6011,Colusa County (CA),Yes,Yes,0,6,11,W,0,services,services
6013,6013,Contra Costa County (CA),Yes,Yes,2,6,13,W,2,services,services
6015,6015,Del Norte County (CA),Yes,Yes,0,6,15,W,1,services,services
6017,6017,El Dorado County (CA),Yes,Yes,1,6,17,W,2,services,services
6019,6019,Fresno County (CA),Yes,No,2,6,19,W,2,services,services
6021,6021,Glenn County (CA),Yes,Yes,0,6,21,W,0,services,services
6023,6023,Humboldt County (CA),Yes,Yes,1,6,23,W,1,services,services
6025,6025,Imperial County (CA),Yes,Yes,1,6,25,W,2,services,services
6027,6027,Inyo County (CA),Yes,Yes,0,6,27,W,0,services,services
6029,6029,Kern County (CA),Yes,Yes,2,6,29,W,2,services,services
6031,6031,Kings County (CA),Yes,Yes,1,6,31,W,2,services,government
6033,6033,Lake County (CA),Yes,Yes,1,6,33,W,1,services,services
6035,6035,Lassen County (CA),Yes,Yes,0,6,35,W,1,government,government
6037,6037,Los Angeles County (CA),Yes,Yes,2,6,37,W,2,services,services
6039,6039,Madera County (CA),Yes,Yes,1,6,39,W,2,services,services
6041,6041,Marin County (CA),Yes,Yes,1,6,41,W,2,services,services
6043,6043,Mariposa County (CA),Yes,Yes,0,6,43,W,0,services,services
6045,6045,Mendocino County (CA),Yes,Yes,1,6,45,W,1,services,services
6047,6047,Merced County (CA),Yes,Yes,1,6,47,W,2,services,services
6049,6049,Modoc County (CA),Yes,No,0,6,49,W,0,services,government
6051,6051,Mono County (CA),Yes,Yes,0,6,51,W,0,services,services
6053,6053,Monterey County (CA),Yes,Yes,1,6,53,W,2,services,services
6055,6055,Napa County (CA),Yes,Yes,1,6,55,W,2,services,services
6057,6057,Nevada County (CA),Yes,Yes,1,6,57,W,1,services,services
6059,6059,Orange County (CA),Yes,Yes,2,6,59,W,2,services,services
6061,6061,Placer County (CA),Yes,Yes,1,6,61,W,2,services,services
6063,6063,Plumas County (CA),Yes,Yes,0,6,63,W,0,services,services
6065,6065,Riverside County (CA),Yes,Yes,2,6,65,W,2,services,services
6067,6067,Sacramento County (CA),Yes,Yes,2,6,67,W,2,services,services
6069,6069,San Benito County (CA),Yes,No,1,6,69,W,2,services,services
6071,6071,San Bernardino County (CA),Yes,Yes,2,6,71,W,2,services,services
6073,6073,San Diego County (CA),Yes,Yes,2,6,73,W,2,services,services
6075,6075,San Francisco County (CA),Yes,Yes,2,6,75,W,2,services,services
6077,6077,San Joaquin County (CA),Yes,Yes,2,6,77,W,2,services,services
6079,6079,San Luis Obispo County (CA),Yes,Yes,1,6,79,W,2,services,services
6081,6081,San Mateo County (CA),Yes,Yes,2,6,81,W,2,services,services
6083,6083,Santa Barbara County (CA),Yes,Yes,1,6,83,W,2,services,services
6085,6085,Santa Clara County (CA),Yes,Yes,2,6,85,W,2,services,services
6087,6087,Santa Cruz County (CA),Yes,Yes,1,6,87,W,2,services,services
6089,6089,Shasta County (CA),Yes,Yes,1,6,89,W,2,services,services
6091,6091,Sierra County (CA),Yes,Yes,0,6,91,W,0,government,government
6093,6093,Siskiyou County (CA),Yes,Yes,0,6,93,W,0,services,services
6095,6095,Solano County (CA),Yes,Yes,1,6,95,W,2,services,services
6097,6097,Sonoma County (CA),Yes,Yes,1,6,97,W,2,services,services
6099,6099,Stanislaus County (CA),Yes,No,2,6,99,W,2,services,services
6101,6101,Sutter County (CA),Yes,Yes,1,6,101,W,2,services,services
6103,6103,Tehama County (CA),Yes,Yes,1,6,103,W,1,services,services
